pergunta;resposta
Qual é o símbolo químico do oxigênio?;O
Qual é o número atômico do oxigênio?;8
O oxigênio é essencial para qual processo metabólico em seres vivos?;Fotossíntese e respiração celular
Em que estado físico o oxigênio existe na atmosfera terrestre?;Gasoso
Qual é a fórmula molecular do oxigênio em sua forma diatômica?;O₂
Qual é o principal uso do oxigênio em ambientes médicos?;Oxiárea e tratamento de pacientes com insuficiência respiratória
Quem foi o químico que descobriu o oxigênio em 1772?;Carl Wilhelm Scheele
Qual é a carga elétrica do oxigênio em compostos iônicos?;−2
O oxigênio é componente principal do que na atmosfera terrestre?;Ar atmosférico
Qual é o nome do processo pelo qual as plantas produzem oxigênio?;Fotossíntese
