pergunta;resposta
Qual é a capital da Polônia?;Varsóvia
Em qual rio está localizada Varsóvia?;Vístula
A que distância fica Varsóvia do mar Báltico?;cerca de 260 km
Qual foi a população estimada de Varsóvia em 2012?;1,716,855 habitantes
Com qual nome Varsóvia é conhecida por sua reconstrução pós-guerra?;Phoenix City
Qual área de Varsóvia foi declarada Patrimônio da Humanidade pela Unesco?;Centro Histórico
Qual instituição de ensino superior está localizada em Varsóvia?;Universidade de Varsóvia
Em qual ano a cidade resistiu à invasão alemã?;1939
Qual é a agência da UE para segurança das fronteiras externas localizada em Varsóvia?;Frontex
Quais são as temperaturas registadas em abril em Varsóvia?;Mínima de -1.6°C e máxima de 30.4°C
