Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Quais são os nomes das três classes de ctenóforos?,Tentaculata,2.1,4.61384,1.0,0.250,0.0,1.0,1.0,0.000
Qual é a autoridade da designação deste grupo?,Eschscholtz,2.33333,4.37319,1.0,0.500,0.0,1.0,1.0,0.000
O que é o tipo-especie dos ctenóforos?,Mnemiopsis leidyi,2.125,4.25402,0.85714,0.000,0.5,1.85566,1.0,0.000
Quais são algumas das categorias de ctenóforos na Wikipédia?,Artigos com vídeos,1.8,4.61384,1.0,0.250,0.66667,2.50045,1.0,0.000
O que é a designação de nível superior dos ctenóforos?,Filos,2.36364,4.82961,1.0,0.400,0.0,1.0,1.0,0.000
Quais são algumas das imagens associadas aos ctenóforos?,Aulacoctena_cydippid_ctenophore.jpg,2.33333,4.37319,1.0,0.250,1.0,1.0,1.0,0.000
Quais são algumas das categorias de ctenóforos na Wikipédia?,Artigos com vídeos,1.8,4.61384,1.0,0.250,0.66667,2.50045,1.0,0.000
O que é o nível superior de classificação dos ctenóforos?,Filos,2.45455,4.96484,0.9,0.600,0.0,1.0,1.0,0.000
O que é a designação de nível superior dos ctenóforos?,Filos,2.36364,4.82961,1.0,0.400,0.0,1.0,1.0,0.000
Quais são algumas das categorias de ctenóforos na Wikipédia?,Artigos com vídeos,1.8,4.61384,1.0,0.250,0.66667,2.50045,1.0,0.000
Qual é o nome grego dos ctenóforos?,κτείς kteis 'comb' e φέρω pherō 'carry',2.0,4.10211,1.0,0.500,1.72727,4.10211,1.0,0.000
