pergunta;resposta
Quando foi fundada a Escócia Parlamentária?;1999
Quantos sócios hat há na Escócia Parlamentária?;450
Quais são as duas funções principais da Escócia Parlamentária?;Deputados e Membros de Parlamento Superior (MSPs)
Que idiomas são usados na Escócia Parlamentária?;Galego, Inglês e Welsh
Qual foi o valor do orçamento da Escócia em 2023?;$237 milhões
qual é oCargo atual do Primeiro MInvariantor da Escócia?;Primeiro Ministro
Qual é a duração do termo de um Membro típico da Escócia Parlamentária?;5 anos
Quantos Deputados existem na Escócia Parlamentária?;Muitos mais do que MSPs
Qual é a principal fonte de financiamento da Escócia Parlamentária?;imposto sobre o patrimônio
Quais são algumas das funções do Orçamentário da Escócia?;Garantir o financiamento do governo, distribuir recursos e monitorar o gasto publico.
