Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
How can the majority of citizens be prevented from following certain laws and demands?,Civil disobedience is defined as the refusal to comply with legal or social orders by the majority of people.,6.2,5.51466,1.0,0.000,3.05,6.21898,0.94737,0.111
A discussion about civil disobedience's impact on various countries. How do these actions reflect the values of equality and justice?, Civil disobedience,3.41667,6.31084,1.0,0.105,0.5,1.85566,1.0,0.000
The role of journalists in promoting civil disobedience movements. Who is at risk when news outlets report on these protests?, Journalists involved in reporting on civil disobedience movements may face bias or misinformation if their perspectives are not properly represented.,3.725,6.21768,1.0,0.050,4.95238,6.21768,1.0,0.100
Civil disobedience has become a symbol of resistance against unjust policies. How does this perspective affect people's attitudes towards social justice?, Civil disobedience,2.76282,6.39884,1.0,0.273,0.5,1.85566,1.0,0.000
The most significant civil disobedience movement in history was sparked by the Russian citizens who broke the law against the government's policies. What led to this movement?, This movement arose due to the harsh realities faced by working-class Russians during the 19th century,4.32,7.18797,0.85714,0.071,6.625,5.89142,0.9375,0.000
What defines a successful Civil Disobedition Movement?, This movement is characterized by widespread participation,2.0,4.10211,1.0,0.571,3.0,4.10211,1.0,0.000
Civil disobedience has faced challenges throughout its history. What difficulties have arisen in these movements?, Many civil disobedience movements have encountered obstacles such as internal dissent within groups,3.4375,5.65316,1.0,0.000,2.15385,5.36491,1.0,0.083
The most famous case of civil disobedience was that of 2017 in Albania. How did this incident impact the local government's policies?, The 2017 Albanian movement faced unique challenges due to the political climate of the time,4.95833,6.66798,0.91304,0.130,6.13333,5.89204,0.86667,0.067
What does civil disobedience truly represent today?, Civil disobedience is now seen as a crucial movement for upholding human rights,2.125,4.10211,1.0,0.143,3.76923,5.36491,1.0,0.000
The most significant civil disobedience movement of all time was that of 2017 in South Africa. How did this event shape the future of civil disobedience movements globally?, The South African protests influenced many other regions worldwide,4.94118,7.28857,0.82143,0.071,4.0,4.61384,1.0,0.000
What is the most compelling example of civil disobedience today?, The case of 2023 in China has shown how civil disobedience can play a role in fighting global challenges such as pandemics and climate change.,3.72727,4.82961,1.0,0.100,4.15385,6.7216,0.96,0.208
