pergunta;resposta
Fresno é a quinta cidade mais populosa do estado norte-americano da Califórnia, situada em qual condado?;condado de Fresno
Qual é o nome do documento que representa a cidade de Fresno, California?;Template:San Joaquin Valley
Em que ano Fresno foi fundada?;1872
Quantos habitantes aproximadamente Fresno tem, de acordo com o censo de 2020?;542 mil
Chris McNealy, um jogador de basquete, nasceu em qual cidade?;Fresno, California
Qual cidade foi o local de morte de Red Adams?;Fresno, California
Qual equipe de basquete masculina de universidade possui lar em Fresno, Califórnia?;San Diego State Aztecs men's basketball team
Qual a cidade mais próxima da área de proteção da "Dinkey Lakes Wilderness"?;Fresno, California
Qual o nome do documento que representa a cidade de Fresno, California?;Template:San Joaquin Valley
Qual é o nome do documento que representa a cidade de Fresno, California?;Template:San Joaquin Valley
