Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
9. Can they be publicly funded? Not usually, they're independent.,1.0,4.37319,1.0,0.000,1.2,2.50045,1.0,0.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
O que é uma escola privada?,Uma escola não financiada pelo governo.,1.57143,3.79304,1.0,0.667,1.71429,3.79304,1.0,1.000
Como são diferentes das escolas públicas?,Administeram seu próprio governo.,1.71429,3.79304,1.0,0.250,1.4,3.01273,1.0,0.500
De onde vem o financiamento de uma escola privada?,De fontes privadas.,1.7,4.75438,0.88889,0.500,1.25,2.50045,1.0,0.000
A escola privada é dependente do governo?,Não,2.0,4.10211,1.0,0.800,0.0,1.0,1.0,0.000
O que garante sua operação?,Governo autônomo.,1.5,3.43523,1.0,0.500,1.0,1.85566,1.0,0.000
Precisam de um conselho de governadores?,Sim,1.57143,3.95066,0.83333,0.333,0.0,1.0,1.0,0.000
Qual termo descreve a auto-gestão?,Autonomia,1.66667,3.43523,1.0,0.333,0.0,1.0,1.0,0.000
Podem ser financiadas publicamente?,Não,1.4,3.01273,1.0,0.500,0.0,1.0,1.0,0.000
Qual caractística é comum em escolas privadas?,Governo autônomo,1.875,4.10211,1.0,0.200,0.5,1.85566,1.0,0.000
