pergunta;resposta
O que é a Lei da União Europeia?;Lei supranacional.
Qual é a origem histórica da lei da UE?;1952.
Quais são os principais objetivos da lei da UE?;Promover paz, justiça social, mercado social com emprego total e proteger o meio ambiente.
Como se estrutura formalmente a UE?;Por tratados acordados pelos estados-membros.
Qual é a fonte de interpretação legal da UE?;Treaties of the European Union.
Quem cria os julgamentos da UE?;Cour de justice da União Europeia.
O que refere-se à Lei da UE no contexto da UE?;Lei supranacional.
Com qual objetivo a UE promove o mercado social e o emprego?;Promover emprego total.
Como a UE combate desastres ambientais?;A Lei da UE se dedica a proteger o meio ambiente.
Qual é a função principal do Tribunal de Justiça da UE?;Interpretar leis da UE.
