pergunta;resposta
Quais são os cursos oferecidos na escola?;Ensino Fundamental I, Ensino Fundamental II, Inglês, Ciências da Computação e Espanhol.
Como os alunos são distribuídos pelos cursos?;Os alunos são distribuídos de acordo com o curso que frequentam, como Ensino Fundamental I e II, ou os cursos complementares.
Quantos livros estão disponíveis na biblioteca digital da escola?;500 livros.
Qual é o objetivo principal do Plano Nacional de Saúde na Educação (PNSE)?;Promover a saúde dos alunos, docentes e funcionários, além de prevenir doenças e promover hábitos saudáveis.
Qual é um exemplo de projeto educacional desenvolvido pela escola?;"O projeto ""Meu Livro"" e o ""Café Escolar"" são exemplos de projetos educacionais."
"Qual foi o principal objetivo do ""Meu Livro""?";Promover a leitura entre os alunos, incentivar a criação de livros e valorizar a literatura brasileira.
"O que os projetos como ""Café Escolar"" pretendem alcançar?";Garantir um ambiente socializador saudável para os alunos, professoras e funcionários.
Qual é a formação básica dos professores da escola?;Eles são formados em cursos de graduação e possuem especialização em Ensino Fundamental e Espanhol.
Quais são os cursos complementares oferecidos?;Inglês, Ciências da Computação e Espanhol.
Qual é a função da equipe multidisciplinar na escola?;Ela coordena projetos educacionais, supervisiona a biblioteca digital e promove atividades culturais.
