Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O que é outro nome para farmácia na Grã-Bretanha?,Química,2.3,4.61384,1.0,0.500,0.0,1.0,1.0,0.000
Qual tipo de farmácia foca no atendimento direto ao paciente?,Clínica,3.09091,4.82961,1.0,1.167,0.0,1.0,1.0,0.000
Em quais áreas a farmacia se relaciona?,Ciências da saúde,2.0,4.10211,1.0,0.000,1.0,2.50045,1.0,0.500
O que os farmacêuticos são especialistas?,Terapia medicamentosa,1.71429,3.79304,1.0,0.333,0.5,1.85566,1.0,0.000
Qual é uma função tradicional do farmacêutico?,Composição de remédios,1.75,4.10211,1.0,0.500,0.66667,2.50045,1.0,0.000
Quais produtos são vendidos em farmácias?,Medicamentos,1.71429,3.79304,1.0,0.250,0.0,1.0,1.0,0.000
Qual é a principal finalidade dos farmacêuticos?,Otimizar o uso de medicamentos,1.75,4.10211,1.0,0.500,0.8,3.43523,1.0,0.333
Qual estabelecimento pratica a farmácia?,Farmácia,1.66667,3.43523,1.0,0.667,0.0,1.0,1.0,0.000
Que serviços modernos farmacêuticos prestam?,Revisão de medicações,1.66667,3.43523,1.0,0.000,0.66667,2.50045,1.0,0.000
Em quais contextos a farmacia é praticada?,Comunitária,2.125,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
Qual ciência precede a química e farmacologia?,Medicina tradicional,1.75,4.10211,1.0,0.500,0.5,1.85566,1.0,0.500
