pergunta;resposta
Quem fundou a Dinastia Yuan?;Kublai Khan
Em que ano foi estabelecida a Dinastia Yuan?;1271
Qual evento marcou a fundação formal da Dinastia Yuan?;Proclamação do nome dinástico "Grande Yuan" por Kublai Khan
Quanto tempo durou a Dinastia Yuan?;Até 1368
Qual foi a conquista militar importante durante o reinado de Kublai Khan?;Conquista da dinastia Song em 1279
Quem sucedeu Kublai Khan na liderança da Dinastia Yuan?;Temür Khan (Yuan Shizu)
 Qual imperador morreu durante a Dinastia Yuan?;Emperor Gong of Song
 Qual foi a capital da Dinastia Yuan?;Khanbaliq e Shangdu
 Em qual ano a Dinastia Yuan foi dissolvida?;1368
Qual figura militar destacou-se na Dinastia Yuan?;Kublai Khan
