Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quem é considerado o pai da imunologia?,Ilya Ilyich Mechnikov,1.875,4.10211,1.0,0.250,1.0,2.50045,1.0,0.000
Qual é a base da vacinação?,A imunidade adquirida,1.71429,3.79304,1.0,0.667,1.0,2.50045,1.0,0.000
Quais são exemplos de mecanismos imunitários básicos presentes em eucariotas?,Fagocitose,2.63636,4.82961,1.0,0.143,0.0,1.0,1.0,0.000
O que caracteriza a imunodeficiência?,Atividade do sistema imunitário inferior ao normal,1.5,3.43523,1.0,0.000,2.28571,4.10211,1.0,0.600
Quais células fazem parte do sistema imunitário?,Linfócitos,2.125,4.10211,1.0,0.400,0.0,1.0,1.0,0.000
O que é a imunidade adquirida?,Capacidade de criar memória imunológica após resposta inicial a um agente específico,2.14286,3.79304,1.0,0.000,1.08333,5.20226,1.0,0.625
Quais são as consequências de um sistema imunitário hiperativo?,Doenças autoimunes,1.8,4.61384,1.0,0.400,0.5,1.85566,1.0,0.000
Quais modelos de página wiki são usados no sistema imunitário?,Template:Use dmy dates,2.36364,4.82961,1.0,0.429,1.2,3.01273,1.0,0.000
Quais doenças estão associadas a transtornos do sistema imunitário?,Sepsis,2.1,4.61384,1.0,0.167,0.0,1.0,1.0,0.000
O que é a fagocitose?,Processo de engolfamento e destruição de agentes patogênicos por células especializadas,1.5,3.43523,1.0,0.000,1.63636,5.1549,0.90909,0.143
