Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Em qual estado dos Estados Unidos está localizada Jacksonville?,Flórida,2.2,4.61384,1.0,0.167,0.0,1.0,1.0,0.000
Qual é a população estimada de Jacksonville em 2020?,968.752 habitantes,1.8,4.61384,1.0,0.200,0.5,1.85566,1.0,0.000
Qual é o maior rio que passa por Jacksonville?,Río St. Johns,1.7,4.61384,1.0,0.400,0.5,2.50045,1.0,0.000
Qual indústria desempenha um papel significativo na economia de Jacksonville?,Turismo,2.54545,4.82961,1.0,0.500,0.0,1.0,1.0,0.000
Em qual ano Jacksonville foi fundada?,1822,1.85714,3.79304,1.0,0.250,0.0,1.0,1.0,0.000
Qual evento cultural anual acontece em Jacksonville?,Festa do Município (Municipal Fair),2.125,4.10211,1.0,0.600,3.0,3.43523,1.0,0.200
Qual parque estadual está localizado perto de Jacksonville?,Timucua Gardens State Park,1.77778,4.37319,1.0,0.400,1.5,3.01273,1.0,0.000
Qual universidade é considerada uma das mais importantes de Jacksonville?,University of North Florida,2.0,4.82961,1.0,0.333,1.5,3.01273,1.0,0.000
Qual time esportivo profissional está sediado em Jacksonville?,Jacksonville Jaguars (NFL) e Jacksonville Sharks (AHL),2.11111,4.37319,1.0,0.500,2.36364,4.25402,0.85714,0.000
Qual sistema de transporte público serve a cidade?,Jacksonville Transportation Authority (JTA),2.33333,4.37319,1.0,1.000,2.5,3.01273,1.0,0.000
