Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
O rio Reno tem quantos quilômetros de comprimento?,1 233 km,1.88889,4.37319,1.0,0.400,1.0,2.50045,1.0,0.000
Em qual direção o rio Reno flui?,de sul a norte,1.875,4.10211,1.0,0.500,1.0,3.01273,1.0,1.000
O rio Reno deságua em qual oceano?,mar do Norte,1.875,4.10211,1.0,0.500,1.0,2.50045,1.0,0.500
Qual rio possui sua foz localizada no rio Reno?,Schwarzbach (Bergisches Land),2.4,4.75438,0.88889,0.333,2.0,2.50045,1.0,0.000
Qual ponte cruza o rio Reno em Bonn?,Deutz Suspension Bridge,2.11111,4.37319,1.0,0.500,1.0,2.50045,1.0,0.000
Qual é o nome do rio Reno em francês?,Rhin,2.5,4.61384,1.0,0.600,0.0,1.0,1.0,0.000
Qual usina nuclear utiliza o rio Reno como fonte de resfriamento?,Biblis Nuclear Power Plant,2.08333,5.02467,1.0,0.571,1.5,3.01273,1.0,0.000
Qual é o nome do rio Reno em alemão?,Rhein,2.5,4.61384,1.0,0.600,0.0,1.0,1.0,0.000
Qual rio tem sua origem no rio Reno?,Elbling,2.11111,4.51932,0.875,0.400,0.0,1.0,1.0,0.000
Qual é o nome do rio Reno em neerlandês?,Rijn,2.5,4.61384,1.0,0.400,0.0,1.0,1.0,0.000
