pergunta;resposta
Em qual mar o rio Reno deságua?;Mar do Norte
Qual o comprimento aproximado do rio Reno?;1 233 km
Além da Alemanha, em qual outro país o rio Reno marca fronteira?;Suíça
Qual rio tem sua foz localizada no rio Reno?;Wupper
Qual evento esportivo de 1907 foi realizado no rio Reno?;1907 European Rowing Championships
Qual é o tipo de subdivisão do rio Reno na região de Vorarlberg?;South and Western Germany
O rio Isenach deságua em qual rio?;Rhine
Qual rio possui montanha na foz Rhine?;Itter (Rhine)
Qual a elevação na foz do rio Reno?;0.0
Qual o nome da bacia do rio Reno?;Rhine Basin
