Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual rio corre pela cidade de Warsaw?,Vistula,1.75,4.10211,1.0,0.500,0.0,1.0,1.0,0.000
Qual é a temperatura máxima registrada em março em Warsaw?,22,2.27273,4.96484,0.9,0.333,0.0,1.0,1.0,0.000
Quantos habitantes tem Warszawa?,cerca de 1,1.6,3.01273,1.0,0.000,1.0,2.50045,1.0,0.000
Qual linha do metrô serve o aeroporto Okecie?,Linha M2,2.33333,4.37319,1.0,0.600,0.5,1.85566,1.0,0.000
O que Warsaw é conhecida por ser um centro importante?,de serviços empresariais e TI,2.0,4.82961,1.0,0.667,1.0,3.43523,1.0,0.000
Quando foi reconstruído o Vel老城区 de Warsaw?,Após a Segunda Guerra Mundial,1.625,4.10211,1.0,0.200,1.0,3.43523,1.0,0.000
Qual é o nome do prédio mais alto em Warsaw?,Varso Tower,2.45455,4.82961,1.0,0.667,0.5,1.85566,1.0,0.000
Onde fica localizado o estádio nacional da Polônia?,Warszawa,1.77778,4.37319,1.0,0.333,0.0,1.0,1.0,0.000
Nomeie uma universidade famosa em Warsaw.,Universidade de Warsaw,1.71429,3.79304,1.0,0.250,0.66667,2.50045,1.0,0.333
Onde está localizada a Chancelaria do Primeiro-Ministro da Polônia?,em Warsaw,2.3,4.61384,1.0,0.125,0.5,1.85566,1.0,0.000
