pergunta;resposta
Qual o principal fator que contribui para a desigualdade econômica global?;a concentração de riqueza
Qual a principal conclusão do relatório da Oxfam sobre a desigualdade global em 2018?;o 1% mais rico do mundo detém mais riqueza do que o restante da população combinada.
Qual a principal crítica ao conceito de "riqueza" como medida da desigualdade?;ele não captura a distribuição de renda, que é mais relevante para o bem-estar.
Qual a relação entre a globalização e a desigualdade econômica?;a globalização reduziu a desigualdade global, mas aumentou a desigualdade dentro dos países.
Qual o conceito que mede a distribuição de renda em uma população?;desigualdade de renda
Qual o índice que combina a desigualdade de renda e desigualdade de riqueza?;Coeficiente de Gini
Qual a relação entre o crescimento econômico e a desigualdade?;uma maior desigualdade dificulta a duração do crescimento, mas não sua taxa.
Qual o conceito que se refere à distribuição de riqueza entre os indivíduos de uma população?;desigualdade de riqueza
Qual o principal argumento de Branko Milanović sobre a desigualdade global?;a desigualdade não é apenas um problema de países pobres e ricos, mas sim de países ricos entre si.
Qual o principal efeito da globalização sobre a desigualdade dentro dos países?;a globalização aumentou a desigualdade dentro dos países.
Qual a principal crítica à utilização do índice de Gini para medir a desigualdade?;ele não captura a distribuição de renda, que é mais relevante para o bem-estar.
Qual o conceito que se refere à distribuição de renda entre os indivíduos de uma população?;desigualdade de renda
Qual a relação entre o crescimento econômico e a desigualdade?;uma maior desigualdade dificulta a duração do crescimento, mas não sua taxa.
Qual o conceito que se refere à distribuição de riqueza entre os indivíduos de uma população?;desigualdade de riqueza
Qual a relação entre o crescimento econômico e a desigualdade?;uma maior desigualdade dificulta a duração do crescimento, mas não sua taxa.
Qual o conceito que se refere à distribuição de riqueza entre os indivíduos de uma população?;desigualdade de riqueza
Qual a relação entre o crescimento econômico e a desigualdade?;uma maior desigualdade dificulta a duração do crescimento, mas não sua taxa.
Qual o conceito que se refere à distribuição de riqueza entre os indivíduos de uma população?;desigualdade de riqueza
Qual a relação entre o crescimento econômico e a desigualdade?;uma maior desigualdade dificulta a duração do crescimento, mas não sua taxa.
Qual o conceito que se refere à distribuição de riqueza entre os indivíduos de uma população?;desigualdade de riqueza
