pergunta;resposta
Qual é a principal função do sistema imunitário?;Defender o corpo contra agentes patogênicos.
Quais são os dois principais tipos de imunidade?;Imunidade inata e imunidade adaptativa.
Quais células são responsáveis pela produção de anticorpos?;Células B.
O que é a resposta inflamatória?;Um processo de defesa que envolve a liberação de substâncias químicas para combater infecções.
Qual órgão é responsável pela maturação das células T?;Timo.
Como o sistema imunitário reconhece células estranhas?;Através de receptores específicos que identificam antígenos.
O que são células de memória no sistema imunitário?;Células que lembram patógenos anteriores para uma resposta mais rápida.
Qual é o papel dos linfócitos na imunidade?;Eles atuam na identificação e eliminação de patógenos.
Como a vacinação contribui para a imunidade?;Induz a produção de anticorpos sem causar a doença.
O que é a imunidade adquirida?;A proteção desenvolvida após a exposição a um patógeno ou vacina.
