pergunta;resposta
Qual o número de países que compõem a bacia amazônica?;nove países  
Qual a porcentagem da floresta amazônica no Brasil?;60% do território  
Quantas espécies de árvores existem na floresta amazônica?;16.000 espécies  
Qual país possui a maior parte da floresta amazônica?;Brasil  
Quantos territórios indígenas estão formalmente reconhecidos?;3.344 territórios  
Qual a área total da bacia amazônica?;7.000.000 km²  
Quais países têm "Amazonas" em seus nomes?;quatro nações  
Qual a porcentagem da floresta amazônica em relação às florestas tropicais mundiais?;mais da metade  
Quantas pessoas vivem na floresta amazônica?;30 milhões de pessoas  
Qual o nome da área protegida na França?;Parque Amazoniano da Guiana
