Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual é o foco principal da geologia?,estudo da Terra e outros corpos celestes  ,1.75,4.10211,1.0,0.500,1.28571,4.10211,1.0,0.250
Com quais áreas a geologia se sobrepõe significativamente?,hidrologia e ciências da Terra  ,2.0,4.37319,1.0,0.000,1.0,3.43523,1.0,0.000
O que a geologia fornece como evidência?,tectônica de placas e climas passados  ,1.75,4.10211,1.0,0.000,1.16667,3.79304,1.0,0.000
Quais métodos são usados pelos geólogos?,trabalho de campo e técnicas geofísicas  ,1.71429,3.79304,1.0,0.250,1.16667,3.79304,1.0,0.500
Qual é uma aplicação prática da geologia?,exploração de minerais e hidrocarbonetos  ,2.0,4.10211,1.0,0.500,1.2,3.43523,1.0,0.333
Qual revista científica está associada à geologia?,Brazilian Journal of Geology  ,1.875,4.10211,1.0,0.200,1.5,3.01273,1.0,0.000
Qual é uma ferramenta usada pelos geólogos?,martelo do geólogo  ,2.0,4.10211,1.0,0.250,1.0,2.50045,1.0,0.500
O que a geologia estuda em relação à estrutura da Terra?,estrutura superficial e subterrânea  ,2.08333,5.02467,1.0,0.250,1.0,3.01273,1.0,0.667
Qual é o papel da geologia na compreensão da história da Terra?,determinar a idade de rochas  ,3.92308,5.47097,0.83333,0.500,0.8,3.43523,1.0,0.667
Qual imagem representa a geologia?,Kittatinny Mountain Cross Section.jpg,1.66667,3.43523,1.0,0.333,2.5,3.01273,1.0,0.000
