pergunta;resposta
Qual é a capital e maior cidade de Vitória?;Melbourne
Em que ano Vitória alcançou o autogoverno?;1855
Quantas cadeiras Vitória tem na Câmara dos Representantes da Austrália?;38
Qual é o PIB per capita de Vitória em comparação com outros estados australianos?;sexto lugar
Qual evento esportivo global foi sediado pelo Melbourne Cricket Ground em 1956?;Jogos Olímpicos de Verão
Em que ano o Australian Open começou a ser realizado anualmente no Melbourne Park?;1988
Qual é a universidade mais antiga em Vitória e quando foi estabelecida?;Universidade de Melbourne, datada de 1853
Quem era o primeiro-ministro do Partido Trabalhista que governava Vitória desde 2014?;Daniel Andrews
Qual é a temperatura mais baixa registrada em fevereiro em Victoria (Austrália)?;-3.9°C
Quem é a governadora de Vitória desde 2015?;Linda Dessau
