pergunta;resposta
Qual é a capital da Flórida, nos Estados Unidos?;Jacksonville
Em qual estado da União Americana fica localizada a cidade de Jacksonville?;Flórida
Qual é a população estimada da cidade de Jacksonville em 2021?;897.623
Jacksonville faz parte do que grupo metropolitano da Flórida?;Jacksonville Metropolitan Area
Qual é a área metropolitana de Jacksonville classificada em qual posição nos Estados Unidos por população?;40ª
Em que ano Jacksonville foi fundada oficialmente?;1822
Qual é a extensão de área da cidade de Jacksonville em quilômetros quadrados?;87,46
Jacksonville foi a primeira cidade dos Estados Unidos a receber um sistema de transporte público elétrico.;Sim
Qual é o rio que delimita a cidade de Jacksonville ao sul?;Rio St. Johns
Qual é o aeroporto mais próximo da cidade de Jacksonville para voos internacionais?;Aeroporto Internacional de Jacksonville (JAX)
