pergunta;resposta
Qual foi o período de pico da Peste Negra na Europa?;Entre os anos de 1347 e 1351
Qual bactéria é considerada a causa da Peste Negra?;Yersinia pestis
A Peste Negra foi o primeiro surto de peste na Europa?;Sim, foi o primeiro grande surto europeu de peste.
Qual a estimativa da população mundial que a Peste Negra pode ter reduzido no século XIV?;De 475 milhões para 350–375 milhões
A Peste Negra se originou em qual continente?;Ásia
Qual a forma mais comum de peste durante a Peste Negra?;Bubônica
A Peste Negra afetou apenas a Europa?;Não, afetou a Eurásia e o norte da África.
Qual o principal vetor de transmissão da Yersinia pestis durante a Peste Negra?;Pulgas que viviam em ratos
Em média, qual porcentagem da população europeia foi estimada ter morrido durante a Peste Negra?;Entre 30% e 60%
Quanto tempo, aproximadamente, demorou para a população da Europa se recuperar ao nível anterior à Peste Negra?;Cerca de 200 anos.
