pergunta;resposta
O que é a farmácia?;ciência e prática de descobrir, produzir e monitorar medicamentos.
Quais áreas a farmácia conecta?;ciências da saúde e ciências farmacêuticas.
Qual é a orientação da prática farmacêutica moderna?;orientada para o cuidado clínico.
Como é classificada a prática farmacêutica?;comunitária ou institucional.
Qual é o papel clínico da farmácia comunitária?;cuidado direto com pacientes.
Quais são os serviços modernos da farmácia?;avaliação de segurança e eficácia de medicamentos.
Quem são os especialistas em terapia medicamentosa?;farmacêuticos.
Quais são os produtos vendidos em farmácias de varejo?;medicamentos e itens variados.
Quais empresas têm serviços de farmácia?;Wegmans, Family Fare, Key Food.
Quais jornais atuam na área de farmácia?;Journal of Pharmacy Practice.
