Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual o estado americano onde está localizada a Universidade de Harvard?,Massachusetts,1.83333,5.02467,1.0,0.429,0.0,1.0,1.0,0.000
Em qual cidade a Universidade de Harvard está situada?,Cambridge,2.2,4.61384,1.0,0.333,0.0,1.0,1.0,0.000
A Universidade de Harvard é membro de qual liga atlética?,Ivy League,2.0,4.96484,0.9,0.429,0.5,1.85566,1.0,0.000
Qual o nome do primeiro benfeitor em homenagem ao qual a universidade foi nomeada?,John Harvard,2.33333,5.63172,0.92857,0.571,0.5,1.85566,1.0,0.000
Quantos ex-alunos bilionários a Universidade de Harvard possui?,sessenta e dois,2.44444,4.37319,1.0,0.625,1.0,2.50045,1.0,1.000
Qual o tamanho aproximado do campus principal da Universidade de Harvard em hectares?,85 hectares,2.35714,5.36491,1.0,0.375,0.5,1.85566,1.0,0.000
Em que século a Universidade de Harvard foi fundada?,Século XVII,2.2,4.61384,1.0,0.333,0.5,1.85566,1.0,0.000
Qual é o nome do estádio localizado do outro lado do rio Charles?,Estádio da Harvard,2.92857,5.62279,0.84615,0.571,1.0,2.50045,1.0,0.000
Qual o número de esportes intercolegiais em que o Harvard Crimson compete?,42,1.92308,5.32781,0.91667,0.167,0.0,1.0,1.0,0.000
Qual o valor aproximado do orçamento da Universidade de Harvard em 2012?,30 bilhões de dólares,3.07692,5.20226,1.0,0.429,0.75,3.01273,1.0,0.000
