pergunta;resposta
Qual é o tipo de instituição da Universidade de Chicago?;Agent
Quantos estudantes são registrados na Universidade de Chicago atualmente?;18452
Qual é o nome da escola de negócios da Universidade de Chicago?;Escola de Negócios Booth
Quem desempenhou um papel importante no desenvolvimento da sociologia na Universidade de Chicago?;estudiosos da Universidade de Chicago
Qual laboratório é administrado pela universidade e está relacionado à pesquisa nuclear?;Fermi National Accelerator Laboratory
Quem foi educado na University of Chicago entre os seguintes nomes: Jesse Shapiro, Henry Schultz, ou David A. Kessler?;David A. Kessler
O que a Universidade de Chicago administra além do Fermi National Accelerator Laboratory?;Argonne National Laboratory e Marine Biological Laboratory
Quais são as duas escolas profissionais mencionadas na universidade, excluindo a Escola de Negócios Booth?;Escola de Medicina Pritzker, Faculdade de Direito
Qual prêmio foi recebido por 34 membros do corpo docente e 17 ex-alunos da Universidade de Chicago?;prêmio MacArthur 'Genius Grant
Quantos ganhadores do Prêmio Nobel estavam afiliados à universidade em outubro de 2018?;98
