pergunta;resposta
De onde se originou a Peste Negra?;Ásia Central ou Ásia Oriental.
Como a Peste Negra chegou à Europa?;via a Rota da Seda e navios mercantes genoveses.
Qual é o agente causador da Peste Negra?;Yersinia pestis.
Quais são as formas da peste causadas pela Yersinia pestis?;bubônica, septicémica e pneumónica.
Qual foi o impacto da Peste Negra na população europeia?;30% a 60% da população europeia.
Quanto tempo levou para a população se recuperar após a Peste Negra?;cerca de 200 anos.
Até quando a Peste Negra recorreu?;até o início do século XX.
Qual é o principal vetor da Peste Negra?;pulgas que viviam em ratos.
Em quais anos a Peste Negra atingiu seu pico na Europa?;entre 1347 e 1351.
Qual foi o impacto da Peste Negra na população mundial?;de 475 milhões para 350–375 milhões no século XIV.
