pergunta;resposta
Quantos quilômetros quadrados de floresta tropical são cobertos na bacia amazônica?;5,5 milhões de km² (2,1 milhões de milhas quadradas) são cobertos pela floresta tropical.
Em quantas nações a região da Amazônia está dividida?;A região está dividida entre nove nações.
Qual é o nome holandês para a Floresta Amazônica em inglês?;"Amazoneregenwoud" (Floresta Tropical Amazônica)
Quantos países fazem parte do bioma amazônico?;O bioma amazônico abrange nove países da América do Sul.
Qual porcentagem da floresta tropical global é representada pela Amazônia?;A Floresta Amazônica representa mais de metade das florestas tropicais remanescentes na Terra.
Quantos tipos diferentes de árvores podem ser encontrados na Floresta Amazônica?;Mais de 16.000 espécies de árvores são encontradas na Floresta Amazônica.
Qual é o nome do maior bioma tropical da Terra?;O maior bioma tropical da Terra é a Floresta Amazônica.
Quantos países compartilham o mesmo estado ou departamento chamado "Amazonas"?;Quatro países têm estados ou departamentos chamados "Amazonas".
Quantas espécies de mamíferos são encontradas na Floresta Amazônica?;Mais de 400 espécies de mamíferos são encontradas na Floresta Amazônica.
Qual é a maior floresta tropical primária do mundo?;A Floresta Amazônica é a maior floresta tropical primária do mundo.
