pergunta;resposta  
Qual é a definição principal da desobediência civil?;rejeição ativa a leis injustas  
Quem popularizou o termo desobediência civil?;Henry David Thoreau  
Qual movimento nos EUA utilizou desobediência civil?;movimento dos direitos civis  
Quais protestos em 2020 usaram desobediência civil?;rebeliões kazaxas  
Qual é o objetivo da desobediência civil segundo Martin Luther King Jr.?;reverência pela lei  
Quais protestos em 2019 usaram desobediência civil?;manifestações iranianas  
Quem foi inspirado pela desobediência civil na década de 1910?;Saad Zaghloul  
Qual movimento na Nigéria usou desobediência civil?;protestos End SARS  
Quais protestos em 2021 usaram desobediência civil?;manifestações montenegrinas  
Qual exemplo da Índia ilustra desobediência civil?;luta pela independência indiana
