Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Vou gerar 10 pares pergunta,resposta baseado no contexto fornecido sobre a dinastia Yuan. Vou analisar o texto para identificar os pontos principais e criar perguntas relevantes com respostas curtas.,1.4,3.43523,1.0,0.500,2.47353,6.63618,1.0,0.294
Agora vou formular 10 pares pergunta,resposta:,0.83333,3.79304,1.0,0.200,0.5,1.0,1.0,1.000
1. Qual foi a dinastia mongol que governou a China de 1271 a 1368?,Yuan,1.53571,5.76263,0.85714,0.000,0.0,1.0,1.0,0.000
2. Quem fundou a dinastia Yuan?,Kublai Khan,1.0,3.79304,1.0,0.000,0.5,1.85566,1.0,0.000
3. Em que ano a dinastia Yuan foi oficialmente estabelecida?,1271,1.35,4.82961,1.0,0.143,0.0,1.0,1.0,0.000
4. Qual a dinastia antecessora da Yuan na China?,Song,1.63889,4.61384,1.0,0.000,0.0,1.0,1.0,0.000
5. Qual a dinastia sucessora da Yuan na China?,Ming,1.63889,4.61384,1.0,0.000,0.0,1.0,1.0,0.000
6. Em que ano a conquista da China pelo Yuan foi completada?,1279,1.66667,5.20226,1.0,0.286,0.0,1.0,1.0,0.000
7. Qual batalha marcou o fim do Sul da dinastia Song?,Yamen,1.61364,5.02467,1.0,0.286,0.0,1.0,1.0,0.000
8. Qual a principal diferença da dinastia Yuan em relação às anteriores?,Primeira não-Han a governar toda China,1.5,5.20226,1.0,0.333,1.16667,3.79304,1.0,0.250
9. Qual título Kublai Khan atribuiu a seu avô Genghis Khan?,Fundador da dinastia,1.43182,5.1549,0.90909,0.250,1.0,2.50045,1.0,0.000
10. Que outro nome era usado para se referir à dinastia Yuan?,Império do Grande Cã,1.29167,5.20226,1.0,0.571,1.5,3.01273,1.0,0.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Qual foi a dinastia mongol que governou a China de 1271 a 1368?,Yuan,2.57143,5.62279,0.84615,0.000,0.0,1.0,1.0,0.000
Quem fundou a dinastia Yuan?,Kublai Khan,1.5,3.43523,1.0,0.000,0.5,1.85566,1.0,0.000
Em que ano a dinastia Yuan foi oficialmente estabelecida?,1271,2.2,4.61384,1.0,0.167,0.0,1.0,1.0,0.000
Qual a dinastia antecessora da Yuan na China?,Song,2.77778,4.37319,1.0,0.000,0.0,1.0,1.0,0.000
Qual a dinastia sucessora da Yuan na China?,Ming,2.77778,4.37319,1.0,0.000,0.0,1.0,1.0,0.000
Em que ano a conquista da China pelo Yuan foi completada?,1279,2.83333,5.02467,1.0,0.333,0.0,1.0,1.0,0.000
Qual batalha marcou o fim do Sul da dinastia Song?,Yamen,2.72727,4.82961,1.0,0.333,0.0,1.0,1.0,0.000
Qual a principal diferença da dinastia Yuan em relação às anteriores?,Primeira não-Han a governar toda China,2.5,5.02467,1.0,0.400,1.16667,3.79304,1.0,0.250
Qual título Kublai Khan atribuiu a seu avô Genghis Khan?,Fundador da dinastia,2.36364,4.96484,0.9,0.286,1.0,2.50045,1.0,0.000
Que outro nome era usado para se referir à dinastia Yuan?,Império do Grande Cã,2.08333,5.02467,1.0,0.667,1.5,3.01273,1.0,0.000
