pergunta;resposta
Em que ano a Conquista Normanda ocorreu na Inglaterra?;1066
Quem liderou o exército normando durante as Cruzadas?;Mastã de Léon
O que os Normandos criaram em Jersey quando colonizaram a ilha?;língua Jèrriais
Qual castelo foi construído pelos Normandos na Inglaterra?;Taunton Castle
Quem liderou a Batalha de Cerami?;Normandos
Em que castelo os Normandos habitaram em Llansantffraed?;St Bride's Church, Llansantffraed
Quem fundou o famoso clã Hauteville?;Dinossauros
Em que época a cultura normanda se misturou com outras culturas na França?;Medieval e Oriente Médio
Qual é o significado exato da palavra 'Normans' em francês?;Homens do Norte
Quantos castelos foram construídos pelos Normandos na Inglaterra?;Muitos
