Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual órgão criou o IPCC?,WMO e UNEP  ,1.66667,3.43523,1.0,0.333,0.66667,2.50045,1.0,0.000
Quando foi criado o IPCC?,1988  ,1.5,3.43523,1.0,0.667,0.0,1.0,1.0,0.000
Onde está localizado o secretariado do IPCC?,Genebra,1.75,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
Quantos estados membros tem o IPCC?,195  ,2.0,3.79304,1.0,0.000,0.0,1.0,1.0,0.000
Qual é a duração do ciclo de avaliação?,6 a 7 anos  ,1.77778,4.37319,1.0,0.750,0.75,3.01273,1.0,0.000
O IPCC realiza pesquisas originais?,Não  ,1.66667,3.43523,1.0,0.000,0.0,1.0,1.0,0.000
Com quem o IPCC compartilhou o Nobel em 2007?,Al Gore  ,1.9,4.75438,0.88889,0.000,0.5,1.85566,1.0,0.000
Quando começou o sexto ciclo de avaliação?,2015  ,1.625,4.10211,1.0,0.750,0.0,1.0,1.0,0.000
Qual foi o primeiro relatório especial do AR6?,Relatório sobre aquecimento de 1,1.77778,4.37319,1.0,0.400,0.8,3.43523,1.0,0.333
Quando será publicado o relatório de síntese do AR6?,Março de 2023,1.8,4.61384,1.0,0.000,0.66667,2.50045,1.0,0.000
