Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O que caracteriza a desobediência civil?,recusa ativa a leis injustas,1.57143,3.79304,1.0,0.333,0.8,3.43523,1.0,0.000
Quem popularizou o termo desobediência civil nos EUA?,Henry David Thoreau,2.22222,4.37319,1.0,0.400,1.0,2.50045,1.0,0.000
Qual movimento utilizou a desobediência civil para lutar pela independência da Índia?,Movimento de independência indiana,2.30769,5.20226,1.0,0.571,0.75,3.01273,1.0,0.333
Qual o principal objetivo de Martin Luther King Jr. ao praticar a desobediência civil?,conscientizar a comunidade sobre a injustiça das leis,3.13333,5.51466,1.0,0.556,1.0,4.51932,0.875,0.500
A desobediência civil é frequentemente associada a qual tipo de protesto?,não violento,1.91667,5.1549,0.90909,0.286,0.5,1.85566,1.0,1.500
Em qual contexto a desobediência civil pode ser vista como um ato de respeito à lei?,quando aceita a penalidade em protesto,2.11765,5.78178,1.0,0.778,1.33333,3.79304,1.0,0.000
Qual país foi palco de uma revolução inspirada pela desobediência civil em 1919?,Egito,2.35714,5.36491,1.0,0.375,0.0,1.0,1.0,0.000
Qual filósofo é conhecido por suas ideias sobre desobediência civil?,Henry David Thoreau,1.81818,4.82961,1.0,0.500,1.0,2.50045,1.0,0.000
A desobediência civil é justificada em tribunais?,raramente,2.0,4.10211,1.0,0.200,0.0,1.0,1.0,1.000
Qual a relação entre a desobediência civil e a resistência não violenta?,são frequentemente equiparadas.,2.0,5.47097,0.83333,0.833,1.25,2.50045,1.0,0.333
