Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual é a posição do ranking USNWR da Universidade de Chicago?,6,3.25,5.02467,1.0,0.286,0.0,1.0,1.0,0.000
Quantas escolas profissionais a Universidade de Chicago possui?,oito,2.22222,4.37319,1.0,0.167,0.0,1.0,1.0,1.000
A Universidade de Chicago está localizada em que bairro de Chicago?,Hyde Park,2.08333,5.30531,0.81818,0.286,0.5,1.85566,1.0,0.000
Onde foi realizada a primeira reação nuclear auto-sustentável do homem?,sob o campo de Stagg da universidade.,2.36364,4.82961,1.0,0.375,1.75,4.10211,1.0,0.667
Qual é o nome da maior imprensa universitária dos EUA?,University of Chicago Press,2.36364,4.82961,1.0,0.500,1.5,3.01273,1.0,0.000
Quantos estudantes a Universidade de Chicago tem?,18452,2.125,4.10211,1.0,0.200,0.0,1.0,1.0,0.000
Quem produziu a primeira reação nuclear auto-sustentável do homem na Universidade de Chicago?,Metallurgical Laboratory,2.64286,5.36491,1.0,0.444,0.5,1.85566,1.0,0.000
Qual é o nome do prédio onde ocorreu a primeira reação nuclear auto-sustentável?,Chicago Pile-1,2.14286,5.36491,1.0,0.500,0.5,1.85566,1.0,0.000
Quantas divisões de pesquisa acadêmica a Universidade de Chicago possui?,cinco,2.36364,4.96484,0.9,0.286,0.0,1.0,1.0,1.000
O que a Universidade de Chicago administra além dos laboratórios nacionais Fermi e Argonne?,Marine Biological Laboratory,2.66667,5.51466,1.0,0.727,1.0,2.50045,1.0,0.000
