Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Quando começou a crise do petróleo de 1973?,outubro de 1973,2.0,4.37319,1.0,0.500,0.66667,2.50045,1.0,0.500
Qual foi o preço do petróleo em março de 1974?,quase US $ 12,2.18182,4.82961,1.0,0.600,1.0,2.50045,1.0,0.333
Quem proclamou o embargo do petróleo?,membros da Organização dos Países Exportadores de Petróleo Árabes,2.0,3.79304,1.0,0.333,2.55556,4.61384,1.0,0.125
Por que as nações europeias e o Japão foram alvo do embargo?,por apoiarem Israel,2.23077,5.20226,1.0,0.167,0.66667,2.50045,1.0,0.000
Qual foi outro termo usado para a crise do petróleo?,primeiro choque do petróleo,1.81818,4.82961,1.0,0.800,1.0,3.01273,1.0,1.000
Quando os produtores de petróleo árabes levantaram o embargo?,março de 1974,2.1,4.61384,1.0,0.200,0.66667,2.50045,1.0,0.500
Quantas vezes aumentou o preço do petróleo durante a crise?,quase 300%,2.27273,4.82961,1.0,0.600,0.66667,2.50045,1.0,0.500
Qual foi um dos efeitos da crise no mercado global?,aumento da inflação,2.90909,4.82961,1.0,0.400,1.0,2.50045,1.0,1.000
Em qual ano ocorreu a segunda crise do petróleo?,1979,1.9,4.61384,1.0,0.600,0.0,1.0,1.0,0.000
Como é chamada a entidade que liderou o embargo?,Organização dos Países Exportadores de Petróleo Árabes,1.7,4.61384,1.0,0.167,1.71429,4.10211,1.0,0.143
