Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Que conceito os filósofos da antiguidade usavam para estudar máquinas simples?,força,3.0,5.02467,1.0,0.429,0.0,1.0,1.0,1.000
Qual era a crença de que manter o movimento exigia força?,erro fundamental,1.83333,5.02467,1.0,0.833,0.5,1.85566,1.0,1.000
Quem possuía matemática matemática?,Sir Isaac Newton,1.4,3.17866,0.75,0.333,1.0,2.50045,1.0,0.000
Qual é a unidade utilizada para medir a força?,Newton,2.4,4.75438,0.88889,0.600,0.0,1.0,1.0,0.000
Que conceito relacionado com a força em física clássica foi mencionado no contexto?,força,2.78571,5.36491,1.0,0.375,0.0,1.0,1.0,1.000
Qual era a equação exemplar da segunda lei de Newton?,F = ma,2.09091,4.82961,1.0,0.500,1.0,1.85566,1.0,0.500
Quais são as principais aplicações práticas da força na mecânica?,torque,2.63636,4.82961,1.0,0.333,0.0,1.0,1.0,0.000
Que organização policial tem um hiperônimo Force?,Policía Municipal de Ponce,1.875,4.10211,1.0,0.400,1.0,3.01273,1.0,0.250
Qual é a resposta correta para O que é a força em física??,influência que pode mudar o movimento de um objeto,0.92857,5.62279,0.84615,0.500,0.88889,4.61384,1.0,0.800
Quem introduziu a segunda lei de Newton?,Isaac Newton,1.625,4.10211,1.0,0.250,0.5,1.85566,1.0,0.000
Qual é a relação entre força e torque?,Torque é resultado da força multiplicando o perímetro,1.66667,4.37319,1.0,0.500,1.875,4.37319,1.0,0.333
