pergunta;resposta
Qual foi o ano de fundação da Dinastia Yuan?;1271
Qual foi a capital da Dinastia Yuan?;Shangdu
Qual foi a moeda utilizada pela Dinastia Yuan?;Cash (Chinese coin)
Quais foram os combatentes da Batalha de Yamen?;Yuan dynasty
Quem foi o líder da Dinastia Yuan?;Khubilai Khan
Qual era a religião praticada pela Dinastia Yuan?;Budismo, Mongolian Tengrism/Chinese Heaven worship, Shamanism, Taoism, Confucianism, Chinese folk religion, Chinese Nestorian Christianity, Roman Catholic Christianity, Judaism, Chinese Manichaeism, Islam
Qual foi o ano de dissolução da Dinastia Yuan?;1368-09-14
Quais foram as cidades que compunham a Dinastia Yuan?;Khanbaliq
Qual foi o nome da Dinastia Yuan em chinês?;元朝
Quais foram os eventos associados à Dinastia Yuan?;Mongol conquest of the Song dynasty, Red Turban Rebellions, Battle of Lake Poyang
