<think>
Okay, I need to generate 10 question-answer pairs based on the provided context and facts. Let's start by reading through the context and facts carefully.

The context talks about steam engines, their function, and their use in various applications like nuclear reactors. The facts list a lot of ships and other entities that use steam engines, along with some technical terms and categories.

First, I should identify key points from the context. The steam engine uses high-pressure steam, operates based on thermodynamics, and is still used in nuclear reactors. Then, looking at the facts, there are many ships and vessels associated with steam propulsion, some companies that produce steam engines, and various categories and templates related to the steam engine.

Now, to create varied questions, I can ask about the function of a steam engine, its use in modern times, specific examples from the facts, the type of energy used, and maybe some associated categories or images. Each question must have a unique answer derived from the context or facts.

For example, one question could be about the main fluid used in a steam engine, which is water vapor. Another might be about the category it's listed under, like "18th-century inventions." I need to ensure that each answer is directly supported by the given information without adding extra details.

I should also check that I'm not repeating similar questions. Since the facts list many ships with steam propulsion, I can create questions about specific examples, like which ship uses steam engine propulsion. Also, there are mentions of images and templates, so questions about those could be included.

Let me draft a few examples and then ensure there are 10 unique ones, each with a correct answer from the provided data.
</think>

pergunta;resposta
Qual é o fluido de trabalho principal em uma turbina a vapor?;Vapor de água sob alta pressão e alta temperatura
O motor a vapor ainda é utilizado em qual tipo de reator?;Reatores nucleares
Quem é conhecido por contribuir com o desenvolvimento do motor a vapor?;Thomas Newcomen
Qual é a principal fonte de energia utilizada em um motor a vapor?;Calor
Qual é a função do êmbolo em uma máquina a vapor?;Converter energia interna do vapor em energia mecânica
Qual categoria o motor a vapor está associado?;Category:18th-century inventions
Qual é um exemplo de embarcação que utiliza propulsão a vapor?;USS Montclair (ID-3497)
Qual é a imagem representativa do motor a vapor mencionada no contexto?;Boulton and Watt centrifugal governor-MJ.jpg
Qual é a lei da termodinâmica que fundamenta o funcionamento das máquinas térmicas?;Leis da termodinâmica
Qual é o tipo de energia associado ao motor a vapor em alguns registros?;Steam engine
