Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
1. Qual é a classificação da Universidade de Harvard no ranking USNWR?, 1  ,1.29167,5.20226,1.0,0.250,0.0,1.0,1.0,0.000
2. Qual é o ID do Wikidata da Universidade de Harvard?, Q24229398  ,1.56818,5.02467,1.0,0.143,0.0,1.0,1.0,0.000
3. Qual é o ID do GRID da Universidade de Harvard?, grid.38142.3c  ,1.56818,5.02467,1.0,0.143,1.0,1.0,1.0,0.000
4. Qual é a classe da Universidade de Harvard no Yago?, YagoPermanentlyLocatedEntity  ,1.20455,5.02467,1.0,0.286,0.0,1.0,1.0,0.000
5. Quem é associado à Universidade de Harvard via alunado?, Vários indivíduos  ,1.25,4.82961,1.0,0.250,0.5,1.85566,1.0,0.000
6. Quem trabalha na Universidade de Harvard?, Vários indivíduos  ,1.10714,4.10211,1.0,0.200,0.5,1.85566,1.0,0.000
7. Quem estudou na Universidade de Harvard?, Vários indivíduos  ,1.10714,4.10211,1.0,0.200,0.5,1.85566,1.0,0.000
8. Qual é o nome da Universidade de Harvard no Wikidata?, Q24229398  ,1.20455,5.02467,1.0,0.286,0.0,1.0,1.0,0.000
9. Qual é o nome da Universidade de Harvard no GRID?, grid.38142.3c  ,1.20455,5.02467,1.0,0.286,1.0,1.0,1.0,0.000
10. Qual é o nome da Universidade de Harvard no Yago?, YagoPermanentlyLocatedEntity,1.20455,5.02467,1.0,0.286,0.0,1.0,1.0,0.000
