pergunta;resposta
Quais são algumas profissões associadas à farmácia segundo o DBpedia?;Farmacêutico.
Qual é a formação acadêmica necessária para se tornar um profissional da área de farmácia?;Doutorado em Farmácia, Mestrado em Farmácia, Bacharelado em Farmácia e Diploma em Farmácia.
Qual é o identificador Mesh associado à farmácia no DBpedia?;D010604.
Quais categorias do DBpedia são relacionadas à farmácia?;Categoria: Palavras e frases gregas, Categoria: Química medicinal.
Quais templates estão associados ao artigo sobre farmácia no Wikipedia?;Template:Profissões de saúde aliadas, Template:Globalize, Template:Infobox Profissão, Template:Mais citações necessárias, Template:Farmácia, Template:Use_dmy_dates, Template:Wikiversity.
Quais empresas são listadas no DBpedia como pertencentes à indústria farmacêutica?;Alguns exemplos incluem Aesop, Apoteket, Assurant Health, Boots UK e CVS Pharmacy, entre outros.
Quais locais ou tipos de estabelecimentos relacionados à farmácia são mencionados no DBpedia?;Exemplos incluem Academia Americana de Farmacêuticos de Saúde, Comunidade Virtual de Farmácia e Pharmasave.
Quais indivíduos estão associados à educação em farmácia no DBpedia?;Exemplos incluem Özgür Özel e Şakir Eczacıbaşı.
Qual é a página primária do Wikipedia para o tópico de Farmácia?;http://en.wikipedia.org/wiki/Pharmacy.
Quais imagens são usadas para ilustrar o conceito de farmácia no DBpedia?;Algumas imagens incluem A U.S. Soldier com o Special Warfare Medical Group(Airborne), um soldado falando com Dr_110228-A-GV060-946.jpg, e outros símbolos como PharmacistsMortar.svg.
