pergunta;resposta
O sistema imunológico protege os organismos contra o que?;doenças e infecções.
Quais são os dois principais subsystems do sistema imunológico?;sistema imunológico inato e adaptativo.
Como o sistema imunológico inato responde a estímulos?;com uma resposta pré-configurada.
Qual é a base da vacinação no sistema imunológico?;a memória imunológica adquirida.
Quais células estão envolvidas no sistema imunológico?;células como B, T e macrófagos.
O que causa a imunodeficiência?;desordens genéticas ou condições adquiridas.
Qual é um exemplo de doença autoimune?;tratite de Hashimoto.
Qual ciência estuda o sistema imunológico?;a imunologia.
Quais células engolem patógenos?;fagócitos como macrófagos.
O que faz o sistema imunológico adaptativo?;reconhecer e lembrar patógenos para defesas futuras.
