pergunta;resposta
Qual a definição básica de força em física?;Força é uma influência que altera o movimento de um objeto.
Como a força afeta um objeto com massa?;A força causa a alteração da velocidade, gerando aceleração.
Como a força é descrita intuitivamente?;Força é definida como um empurrão ou um puxão.
Qual a natureza da força?;Força é uma quantidade vetorial com magnitude e direção.
Qual a unidade de medida da força no SI?;A unidade de medida é o Newton (N).
Qual a relação entre força, massa e aceleração?;A aceleração é diretamente proporcional à força e inversamente proporcional à massa.
O que é impulso?;Impulso aumenta a velocidade de um objeto.
O que é atrito?;Fricção diminui a velocidade de um objeto.
O que é torque?;Torque produz mudanças na velocidade rotacional de um objeto.
O que é pressão?;Pressão é a distribuição de forças sobre uma área.
