Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual é o principal objetivo do Índice de Desenvolvimento Humano Ajustado à Desigualdade (IDH Ajustado)?,Medir o progresso humano levando em consideração a desigualdade dentro de um país.,3.66667,5.76639,0.93333,0.333,2.21429,5.36491,1.0,0.571
Qual a relação entre globalização e a desigualdade dentro dos países?,A globalização tem aumentado a desigualdade dentro das nações,2.25,5.1549,0.90909,0.250,1.0,4.75438,0.88889,0.000
Como o conceito de renda se diferencia de riqueza no contexto de análise de desigualdade?,Renda é o que as pessoas ganham,1.9375,6.03262,0.8,0.571,1.0,4.10211,1.0,0.000
O que é a curva de Kuznets e como ela se relaciona com a desigualdade?,Uma teoria que sugere que a desigualdade aumenta com o crescimento econômico,2.8125,5.76639,0.93333,0.200,1.0,5.32781,0.91667,0.500
Qual o papel das políticas fiscais e de transferência no combate à desigualdade?,Reduzir a desigualdade através de impostos progressivos e programas sociais.,2.35714,5.36491,1.0,0.333,1.81818,4.82961,1.0,0.000
Como a concentração de riqueza impacta o crescimento econômico?,Pode inibir o crescimento,2.2,4.61384,1.0,0.600,0.75,3.01273,1.0,0.333
O que é o percentil mais alto e qual a sua importância na análise da desigualdade?,Representa o nível de renda necessário para que uma pessoa esteja acima de 90% da população.,2.58824,5.89142,0.9375,0.571,2.05556,6.00792,0.94118,0.625
Quais os principais fatores que contribuem para o aumento da desigualdade de renda entre países?,Diferenças nas políticas econômicas,2.1875,5.65316,1.0,0.286,0.75,3.01273,1.0,0.000
Como a desigualdade de renda afeta a estabilidade política e social?,Pode levar a instabilidade,2.16667,5.1549,0.90909,0.500,0.75,3.01273,1.0,0.333
Qual a diferença entre igualdade de oportunidade e igualdade de resultado?,Igualdade de oportunidade busca igualdade de chances,1.91667,5.30531,0.81818,0.800,1.57143,4.44634,0.71429,0.600
