Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
1. Quando a Universidade de Harvard foi fundada?, 1636,1.25,4.37319,1.0,0.167,0.0,1.0,1.0,0.000
2. Onde a Universidade de Harvard está localizada?, Cambridge,1.25,4.37319,1.0,0.143,0.0,1.0,1.0,0.000
3. Qual é a afiliação da Universidade de Harvard?, membro da Ivy League,1.13889,4.61384,1.0,0.167,1.5,3.01273,1.0,0.333
4. Quantos laureados do Prêmio Nobel estão associados à Universidade de Harvard?, cerca de 150,1.54167,5.20226,1.0,0.100,1.0,2.50045,1.0,0.000
5. Qual é o nome do campus principal da Universidade de Harvard?, Harvard Yard,1.375,5.20226,1.0,0.375,0.5,1.85566,1.0,0.000
6. Quem foi a primeira reitora feminina da Universidade de Harvard?, Drew Gilpin Faust,1.34091,5.02467,1.0,0.125,1.0,2.50045,1.0,0.000
7. Em que ano a Universidade de Harvard tornou-se coeducacional?, 1977,1.35,4.82961,1.0,0.286,0.0,1.0,1.0,0.000
8. Qual é o orçamento da Universidade de Harvard?, cerca de 30 bilhões de dólares em setembro de 2012,1.13889,4.61384,1.0,0.333,1.2,5.12344,0.8,0.250
9. Quantas unidades acadêmicas a Universidade de Harvard possui?, onze (dez faculdades e o Instituto Radcliffe de Estudos Avançados),1.47222,4.61384,1.0,0.143,1.83333,4.82961,1.0,0.167
10. Quem foi o reitor da Universidade de Harvard durante a Grande Depressão e a Segunda Guerra Mundial?, James Bryant Conant,1.38889,6.11685,0.94444,0.538,1.0,2.50045,1.0,0.000
Quando a Universidade de Harvard foi fundada?,1636  ,2.0,4.10211,1.0,0.200,0.0,1.0,1.0,0.000
Onde a Universidade de Harvard está localizada?,Cambridge,2.0,4.10211,1.0,0.167,0.0,1.0,1.0,0.000
Qual é a afiliação da Universidade de Harvard?,membro da Ivy League  ,1.77778,4.37319,1.0,0.200,1.5,3.01273,1.0,0.333
Quantos laureados do Prêmio Nobel estão associados à Universidade de Harvard?,cerca de 150  ,2.58333,5.02467,1.0,0.111,1.0,2.50045,1.0,0.000
Qual é o nome do campus principal da Universidade de Harvard?,Harvard Yard  ,2.25,5.02467,1.0,0.429,0.5,1.85566,1.0,0.000
Quem foi a primeira reitora feminina da Universidade de Harvard?,Drew Gilpin Faust  ,2.18182,4.82961,1.0,0.143,1.0,2.50045,1.0,0.000
Em que ano a Universidade de Harvard tornou-se coeducacional?,1977  ,2.2,4.61384,1.0,0.333,0.0,1.0,1.0,0.000
Qual é o orçamento da Universidade de Harvard?,cerca de 30 bilhões de dólares em setembro de 2012  ,1.77778,4.37319,1.0,0.400,1.2,5.12344,0.8,0.250
Quantas unidades acadêmicas a Universidade de Harvard possui?,onze  ,2.44444,4.37319,1.0,0.167,0.0,1.0,1.0,1.000
Quem foi o reitor da Universidade de Harvard durante a Grande Depressão e a Segunda Guerra Mundial?,James Bryant Conant,2.27778,6.00792,0.94118,0.583,1.0,2.50045,1.0,0.000
