pergunta;resposta
Qual a área total aproximada da Bacia Amazônica?;7.000.000 km²
Qual porcentagem da floresta amazônica está localizada no Brasil?;60%
Quantas espécies de árvores estimadas existem na Amazônia?;16.000
Quantos países compartilham o território da Amazônia?;9
Qual o nome da área protegida da Amazônia Francesa?;Guiana Amazonian Park
Quantas pessoas vivem na Amazônia?;Mais de 30 milhões
Quantos grupos étnicos diferentes habitam a Amazônia?;350
Qual a porcentagem da população amazônica que são povos indígenas?;9%
Quantos territórios indígenas são formalmente reconhecidos na Amazônia?;3.344
A Amazônia representa qual fração das florestas tropicais restantes do planeta?;Mais da metade
