Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
O que é o ctenophora?,filo de animais marinhos com cílios para locomoção,1.5,3.59796,0.8,0.000,1.125,4.37319,1.0,0.200
Qual é a característica mais distinta do ctenophora?,'pentes' - grupos de cílios,1.88889,4.37319,1.0,0.400,1.0,3.01273,1.0,0.000
O que o ctenophora usa para nadar?,pentes formados por cílios,1.75,4.25402,0.85714,0.333,0.75,3.01273,1.0,0.000
Qual o tamanho máximo do ctenophora?,1,1.71429,3.79304,1.0,0.667,0.0,1.0,1.0,0.000
Como o ctenophora se relaciona com as medusas?,convergência evolutiva,1.88889,4.37319,1.0,0.000,0.5,1.85566,1.0,0.000
Qual é o nome comum do ctenophora?,carambolas-do-mar,1.75,4.10211,1.0,0.500,0.0,1.0,1.0,0.000
Quando o ctenophora apareceu no registo fóssil?,desde o Cambriano,1.875,4.10211,1.0,0.250,0.66667,2.50045,1.0,0.000
Qual é a função da bioluminescência no ctenophora?,para comunicação ou defesa,2.33333,4.37319,1.0,0.250,1.0,3.01273,1.0,0.500
Qual é a espécie-tipo do ctenophora?,Mnemiopsis leidyi,1.71429,3.79304,1.0,0.000,0.5,1.85566,1.0,0.000
O que o ctenophora usa para digestão e respiração?,fluxo de água através da cavidade do corpo,2.4,4.75438,0.88889,0.500,1.5,4.37319,1.0,0.500
