pergunta;resposta
Quem desenvolveu o conceito de comutação de pacotes?;Paul Baran desenvolveu o conceito de comutação de pacotes
Qual era o objetivo do conceito de comutação de pacotes?;fornecer um método de roteamento eficiente e tolerante a falhas
Com o que Donald Davies é creditado?;Davies é creditado por cunhar o nome moderno de comutação de pacotes
O que a comutação de pacotes contradiz?;contradizia os princípios de pré-alocação de largura de banda
Qual foi o financiador do programa de pesquisa de Paul Baran?;Departamento de Defesa dos EUA
Onde foi incorporado o conceito de comutação de pacotes?;no design do ARPANET
O que compõe um pacote em comutação de pacotes?;header e payload
Como a comutação de pacotes difere da comutação de circuitos?;taxa por unidade de informação vs. taxa por conexão
Qual a função do header em um pacote?;direcionar o pacote ao destino
Em que ano Donald Davies trabalhou no National Physical Laboratory?;em 1965
