pergunta;resposta
Qual é a bactéria responsável pela Peste Negra?;Yersinia pestis
Qual região é considerada a provável origem da Peste Negra?;Ásia Central ou Ásia Oriental
Como a Peste Negra se espalhou para a Europa?;Através de navios mercantes genoveses transportando ratos infectados
Qual é a forma mais comum da peste causada por Yersinia pestis?;Bubônica
Qual foi o período de pico da Peste Negra na Europa?;1347 a 1351
Qual a estimativa de mortes causadas pela Peste Negra na Europa?;30% a 60% da população
Quantos anos a população europeia levou para recuperar o nível anterior à Peste Negra?;200 anos
Qual é a classificação da Peste Negra no contexto das pandemias?;Segunda pandemia da doença
Qual vetor é responsável pela transmissão principal da peste bubônica?;Pulgas que vivem em ratos
Até quando a Peste Negra retornou como surtos?;Início do século XX
