pergunta;resposta
O que é a desobediência civil?;Ação de resistência não violenta contra leis consideradas injustas
Qual exemplo histórico da desobediência civil foi liderado por Mahatma Gandhi?;Marcha do Sal
Qual evento marcou um momento significativo na luta pelos direitos civis nos EUA?;Recusa de Rosa Parks a ceder seu assento
A desobediência civil inclui atos aleatórios de destruição?;Não, é organizada e não violenta
Qual é uma das principais finalidades da desobediência civil?;Forçar mudanças sociais sem violência
Como a desobediência civil difere do terrorismo?;É não letal contra pessoas e não alvo de inocentes
Por que o fundamento justo é importante na desobediência civil?;Para evitar repressão excessiva ou reprovação internacional
A desobediência civil pode ser considerada ilegal?;Sim, mas com fundamentos justos
Qual aspecto define a legitimidade da desobediência civil?;Proportionalidade和平화성
O que diferencia a desobediência civil de outros atos de resistência?;Use de violência versus não-violência
