pergunta;resposta  
Em qual ano começou a Pandema da Morte Cheia?;1346  
Qual foi o impacto global da Pandema na Europa?; prejudicou a população mundial  
Em qual lugar a pandema mais se difundiu?;Eurasia e Nordeste da América  
Qual foi o efeito da Pandema na população mundial?; reductions de 20 milhões de habitantes  
O que aconteceu com as cidades altas durante a Pandema?; Elas foram afetadas, mas não deram resultados favoráveis  
Quais fases的战略 were envolvidas na combate à pandema?; isolamento, vacinação e tratamentos médicos  
Qual é a principal doença associada à pandema?; Plague  
Em qual número ano surgiu a idéia da "Pandema da Morte Cheia"?;14  
Qual foi o efeito das mortes de maiores por essa pandema?; Ruízes sociais e econômicos perigosos  
Em qual lugar a Pandema mais afetou a população?;Inglaterra
