pergunta;resposta
Qual é o nome do conceito físico relacionado à capacidade de modificar a velocidade de um objeto?;força
De acordo com as leis de Newton, qual é a relação entre força e momento linear?;A segunda lei de Newton afirma que a força que age sobre um objeto é igual à derivada temporal do momento linear deste objeto.
Qual é o significado da magnitude e direção na representação vetorial da força?;A magnitude representa a intensidade da força, enquanto a direção indica a orientação do vetor de força.
Que tipo de estresse mecânico ocorre quando uma força é aplicada num corpo fixo?;Tensão mecânica ou estresse mecânico
Qual é o termo técnico para as influências que causam deformação da matéria sob a aplicação de força?;Estresse mecânico
Como as mudanças em estresse mecânico afetam os fluidos?;As mudanças em estresse mecânico em um fluido determinam alterações em sua pressão e volume.
Qual é o conceito relacionado à diminuição da velocidade de um objeto devido a uma força?;Arrasto
Qual é o nome do efeito que produz mudanças na velocidade de rotação de um objeto?;Torque
Qual é a unidade de medida da força em Sistema Internacional de Unidades (SI)?;Nóvel-metro
Qual é o hiperônimo comum para várias entidades que possuem o conceito de 'força' no seu nome?;Force
