pergunta;resposta
Qual é o principal indicador utilizado para medir a desigualdade econômica em um país?;Coeficiente de Gini
Qual fator está diretamente associado à desigualdade econômica?;Acesso desigual a educação
Qual é uma consequência social da desigualdade econômica?;Aumento de conflitos sociais e violência
Qual país é frequentemente citado como exemplo de alta desigualdade econômica?;Brasil
Qual política pública pode ajudar a reduzir a desigualdade econômica?;Implementação de impostos progressivos
Como a globalização pode impactar a desigualdade econômica?;Acentuando a concentração de riqueza em setores privilegiados
Qual é uma causa estrutural da desigualdade econômica?;Discriminação racial ou de gênero no mercado de trabalho
Como a desigualdade econômica afeta o crescimento econômico?;Reduz a produtividade por limitar o acesso à educação e saúde
Qual instrumento de políticas sociais combate a desigualdade econômica?;Programas de transferência de renda
Qual é uma consequência da baixa desigualdade econômica?;Maior estabilidade social e coesão
