Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Aqui estão 10 pares `pergunta,resposta` gerados com base nas informações fornecidas e nas instruções:,1.0,3.43523,1.0,0.250,2.41667,4.96484,0.9,0.333
1.  Qual é o principal objetivo do planejamento em um projeto de construção?,Planejar o projeto,1.36538,5.36491,1.0,0.857,0.66667,2.50045,1.0,0.500
2.  Quais são os elementos fundamentais que definem um projeto de construção?, Projeto,1.16667,5.20226,1.0,0.429,0.0,1.0,1.0,0.000
3.  O que é um megaprojeto em termos de construção?, Um projeto de construção de grande escala e complexidade.,1.1,4.82961,1.0,0.200,2.3,4.75438,0.88889,0.800
4.  Qual é o papel de um arquiteto em um projeto de construção?, Projetar a aparência e a funcionalidade do edifício.,1.13462,5.62279,0.84615,0.667,1.77778,4.51932,0.875,0.500
5.  O que significa gerenciamento da construção?, Supervisionar e coordenar todas as fases do projeto de construção.,1.17857,4.10211,1.0,0.250,1.81818,4.82961,1.0,0.400
6.  Quais são os principais fatores que afetam o custo de um projeto de construção?, Materiais,1.15,5.76639,0.93333,0.500,0.0,1.0,1.0,0.000
7.  O que é um fluxograma em um projeto de construção?, Representação visual do processo de construção,1.11364,5.1549,0.90909,0.400,1.0,3.79304,1.0,1.000
8.  O que é um controle de qualidade em um projeto de construção?, Garantir que o trabalho seja realizado de acordo com os padrões,1.13462,5.62279,0.84615,0.667,1.0,5.02467,1.0,0.200
9.  Quais são as principais responsabilidades de um engenheiro de construção?, Supervisionar o trabalho de construção,1.11364,5.1549,0.90909,0.500,0.8,3.43523,1.0,0.667
10. O que é um documento de gerenciamento da construção?, Um documento que contém informações sobre o projeto de construção.,1.4,4.82961,1.0,0.400,1.72727,4.82961,1.0,0.600
