pergunta;resposta
Qual foi a data da revogação do Édito de Nantes?;18 de outubro de 1685
Qual foi a principal denominação religiosa dos Huguenotes?;calvinista
Quantos Huguenotes deixaram a França após a revogação do Édito de Nantes?;cerca de 300 000
Quais regiões da França tinham Huguenotes majoritariamente luteranos?;Alsácia, Moselle e Montbéliard
Qual foi a causa principal da emigração dos Huguenotes?;perseguições religiosas sob Luís XIV e revogação do Édito de Nantes
Qual é a denominação religiosa predominante entre os Huguenotes da Alsácia?;luteranos
Que evento histórico levou à expulsão dos Huguenotes da França?;revogação do Édito de Nantes em 1685
Quais regiões da França eram dominadas por Huguenotes calvinistas?;partes sul e central da França
Qual movimento religioso está associado aos Huguenotes?;Reforma Protestante
Quais são exemplos de lugares nos Estados Unidos nomeados em homenagem aos Huguenotes?;Orange County, New York e Staten Island
