pergunta;resposta
Qual é a capital do estado de Vitória na Austrália?;Melbourne
Qual é a principal característica da economia de Vitória?;diversificada
Em que posição Vitória se encontra em termos de PIB per capita na Austrália?;quarto
Qual o nome do maior estádio da Austrália e do Hemisfério Sul?;Melbourne Cricket Ground
Em que ano foi estabelecido o estado de Vitória?;1851
Qual o nome do principal evento de tênis que ocorre em Melbourne?;Australian Open
Qual a fronteira de Victoria com o sul?;Estreito de Bass e Tasmânia
Qual o nome da divisão administrativa que, em 1836, incluiu grande parte do que hoje é o estado de Vitória?;Distrito de Port Phillip
Qual o nome da Corrida do Ouro que impulsionou a riqueza da colônia?;Corrida do Ouro de Vitória
Em que ano a colônia de Vitória alcançou o autogoverno?;1855
