```csv
pergunta;resposta
Quando foi fundada a cidade de Fresno?;1872
Qual é o nome do condado no qual Fresno está localizado?;Condado de Fresno
Quantos habitantes tinha Fresno segundo o censo nacional de 2020?;Mais de 542 mil habitantes
Quem nasceu em Fresno e se tornou jogador de basquete?;Chris McNealy
Em que ano a cidade de Fresno foi incorporada oficialmente?;1885
Qual é uma das equipes de futebol americano que tem localização ligada a Fresno?;Tormenta FC
Quem morreu em Fresno e era conhecido por seu trabalho na fotografia?;Ansel Adams
Que tipo de instituição está localizada em Fresno?;United States District Court for the Eastern District of California
Qual é uma característica da densidade populacional de Fresno?;4722.6 habitantes/mi² ou 1823.43 habitantes/km²
Qual evento anual está localizado em Fresno?;The Big Fresno Fair
```
