pergunta;resposta  
Quando começou a crise do petróleo de 1973?;outubro de 1973  
Quem proclamou o embargo petrolífero?;membros da Organização dos Países Árabes Exportadores de Petróleo  
Qual foi o aumento no preço do petróleo até março de 1974?;de US$ 3 por barril para cerca de US$ 12  
Qual foi outro nome dado à crise do petróleo de 1973?;primeiro choque do petróleo  
Quais países foram alvo do embargo inicialmente?;Canadá, Japão, Holanda, Reino Unido e Estados Unidos  
Como o embargo afetou a economia global?;causou inflação e recessão em várias nações  
Quando os produtores árabes levantaram o embargo?;março de 1974  
Qual foi o impacto político da crise?;intensificou conflitos entre potências e alterou políticas energéticas  
Quais foram as consequências da elevação dos preços do petróleo?;crise energética e reestruturação de dependências de combustíveis  
Qual foi a relação entre a crise e a Guerra do Yom Kippur?;o embargo foi uma resposta à ajuda ao Israel durante o conflito
