Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é o nome da série na tabela periódica que o oxigênio pertence?,Série dos halogênios (Grupo 17),2.5,5.48607,0.92308,0.571,1.85714,3.43523,1.0,0.000
O que significa a designação 'Ox' no símbolo do elemento para oxigênio?,A designação Ox é uma abreviação arcaica,2.6,5.20226,1.0,0.500,1.14286,4.10211,1.0,0.000
Qual é a principal fonte natural de produção de oxigênio?,A fotossíntese realizada por plantas e algumas bactérias,1.81818,4.96484,0.9,0.833,1.0,4.37319,1.0,0.250
Quantas camadas eletrônicas possui o oxigênio?,2 (Camada de valência: ns^2 np^4),2.0,3.79304,1.0,0.250,2.30769,3.79304,1.0,0.000
Em que estado físico se encontra o oxigênio na temperatura ambiente?,Gas,2.25,5.02467,1.0,0.833,0.0,1.0,1.0,0.000
O que acontece quando o oxigênio entra em contato com substâncias inflamáveis?,Pode causar incêndios ou explosões devido à sua natureza altamente reativa.,2.30769,5.32781,0.91667,0.333,1.91667,5.02467,1.0,0.286
Quais são as propriedades físicas do oxigênio gasoso?,Cor branco,2.33333,4.37319,1.0,0.600,0.5,1.85566,1.0,1.000
O que é a formação de radicais de oxigênio?,A formação de radicais de oxigênio (ROS) ocorre quando o oxigênio atua como um reagente oxidante,2.1,4.75438,0.88889,0.500,1.83333,6.01226,0.875,0.222
Quais são alguns dos usos do oxigênio em medicina?,Sopa de oxigênio,2.5,4.61384,1.0,0.750,0.66667,2.50045,1.0,0.500
Por que o oxigênio é essencial para a vida na Terra?,Porque é um componente chave do processo respiratório das células,2.0,5.02467,1.0,0.600,2.4,4.82961,1.0,0.500
