pergunta;resposta;responde
Qual é a população de Fresno, Califórnia?;mais de 542 mil habitantes;
Em que ano foi fundada Fresno?;;1872
Qual é o código de área telefônico de Fresno, Califórnia?;559;
Quem morreu em Fresno e está mencionado no texto?;George N. Zenovich;
Qual é o modelo de página wiki usado por Fresno, Califórnia?;Template:California cities and mayors of 100,000 population;
Quem nasceu em Fresno e está mencionado no texto?;Adam Prentice;
Qual é o tipo de governo de Fresno, Califórnia?;Strong Mayor;
Quem morreu em Fresno e está mencionado no texto?;Joe Jenkins;
Qual é a coordenada geográfica de Fresno, Califórnia?;36.75 -119.76666666666667;
Quem nasceu em Fresno e está mencionado no texto?;Steven Zaillian;
