Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual foi a data de fundação da British Satellite Broadcasting?,1986,2.27273,4.82961,1.0,0.167,0.0,1.0,1.0,0.000
Quando começou a transmitir a BSB?,25 de março de 1990,1.57143,3.95066,0.83333,0.333,0.8,3.59796,0.8,0.333
Com qual empresa a BSB se fusionou?,Sky Television plc,2.0,4.10211,1.0,0.333,1.0,2.50045,1.0,0.000
Qual era o local de sede da BSB?,Londres,1.77778,4.37319,1.0,0.750,0.0,1.0,1.0,0.000
Qual canal pertencia à British Satellite Broadcasting?,Galaxy,2.875,4.10211,1.0,0.200,0.0,1.0,1.0,0.000
Qual empresa sucedeu a BSB após sua fusão?,BSkyB,1.77778,4.37319,1.0,0.250,0.0,1.0,1.0,0.000
Em qual ano a BSB começou suas operações?,1986,2.0,4.37319,1.0,0.250,0.0,1.0,1.0,0.000
Qual filme teve produção pela BSB?,Hardware,1.85714,3.79304,1.0,0.500,0.0,1.0,1.0,0.000
Quais canais eram propriedade da BSB além do Galaxy?,Now,1.9,4.61384,1.0,0.200,0.0,1.0,1.0,0.000
A BSB pertence a qual setor econômico principal?,Mídia,1.77778,4.51932,0.875,0.600,0.0,1.0,1.0,0.000
