pergunta;resposta
Quando começou a crise do petróleo de 1973?;outubro de 1973  
Quem liderou o embargo do petróleo?;Saudita  
Quais países foram inicialmente alvo do embargo?;Canadá, Japão, Holanda, Reino Unido e Estados Unidos  
Quando o embargo foi levantado?;março de 1974  
Qual foi o aumento do preço do petróleo?;300%  
Por que o embargo foi imposto?;apoio a Israel durante a Guerra de Yom Kippur  
Qual outro nome recebeu a crise?;primeiro choque do petróleo  
Quais países foram afetados após o embargo?;Portugal, Rodesia e África do Sul  
Como o governo Nixon negociou com países não cooperantes?;Israel se afastou da Península do Sinai e Colinas de Golan  
Quando ocorreu a segunda crise do petróleo?;1979
