pergunta;resposta
Qual é a data de fundação da Universidade de Harvard?;1636
Onde está localizada a Universidade de Harvard?;Cambridge, Massachusetts
Quantos campus principais a Universidade de Harvard possui?;três
Qual é o valor do patrimônio líquido da Universidade de Harvard?;$50,9 bilhões
Qual é a maior biblioteca acadêmica do mundo?;Harvard Library
Qual foi o objetivo inicial da Universidade de Harvard?;formar clérigos congregacionais
Quem foi o presidente da Universidade de Harvard durante a Guerra Civil Americana?;Charles William Eliot
Quantos presidentes dos EUA são alumni da Universidade de Harvard?;oito
Qual é o nome do instituto que integra a Universidade de Harvard?;Harvard Radcliffe Institute
Quantos prêmios Pulitzer foram concedidos a alunos e ex-alunos da Harvard?;48
