Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quais são as coordenadas geográficas aproximadas de Southern California?,34.0 -117.0,1.8,4.61384,1.0,0.167,0.5,1.85566,1.0,0.000
Qual evento sísmico afetou Southern California em 1994?,1994 Northridge earthquake,2.88889,4.37319,1.0,0.167,1.0,2.50045,1.0,0.000
Que empresa possui área atendida em Southern California e está relacionada a bancos?,OneWest Bank,2.28571,5.36491,1.0,0.222,0.5,1.85566,1.0,0.000
Qual língua é falada em Southern California que pertence aos povos originários da região?,Tataviam language,2.4,5.51466,1.0,0.222,0.5,1.85566,1.0,0.000
Em qual estado dos EUA fica a fronteira oriental de Southern California?,Arizona,2.15385,5.20226,1.0,0.429,0.0,1.0,1.0,0.000
Quem nasceu na região de Southern California e é conhecido por ser um fundador da Atari?,Nolan Bushnell,2.23529,5.78178,1.0,0.444,0.5,1.85566,1.0,0.000
Qual evento sísmico ocorreu em 2008 que afetou Southern California?,2008 Chino Hills earthquake,2.0,4.82961,1.0,0.143,1.5,3.01273,1.0,0.000
Onde está localizado o Museu Americano Chinês?,Southern California,1.75,4.10211,1.0,0.000,0.5,1.85566,1.0,0.000
Quem mora na região de Southern California e é conhecido como músico da banda Bad Religion?,Brett Gurewitz,2.52941,5.78178,1.0,0.400,0.5,1.85566,1.0,0.000
Qual a área total (mi²) da região de Southern California?,56505,2.92857,4.82961,1.0,0.667,0.0,1.0,1.0,0.000
