Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é o capital da Califoria?,Fresno,1.71429,3.79304,1.0,0.667,0.0,1.0,1.0,0.000
O que chama attentione sobre Fresno?$,O capitolão de Californha,2.25,3.79304,1.0,0.333,0.75,3.01273,1.0,0.000
Em qual setor o estado Californha é principalmente conhecido?$,Produção de csv,1.63636,4.61384,1.0,0.667,0.66667,2.50045,1.0,0.000
Qual é a principal faculdade de Fresno?$,Caltech euc,1.44444,4.10211,1.0,0.500,0.5,1.85566,1.0,0.000
O que Crespo da população de Fresno no últmo século XXI?$,Aumentou,2.23077,5.02467,1.0,0.375,0.0,1.0,1.0,0.000
Qual é um dos parques mais celebrados de Fresno?$,Parque Central de Fresno,1.90909,4.61384,1.0,0.200,0.75,3.01273,1.0,0.250
Quais são destacadas as contribuições culturais de Fresno?$,Música,1.1,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
Em qual ramo a cidade se destaca em exportações?$,Frutas e frutas secas,2.81818,4.75438,0.88889,0.500,0.75,3.17866,0.75,0.000
Qual é o maior p município de Fresno?$,1,1.6,4.37319,1.0,0.600,0.0,1.0,1.0,0.000
O que chama attentione sobre a alface vermelha de Fresno?$,Eating House,2.58333,4.82961,1.0,0.400,0.5,1.85566,1.0,0.000
